"Variavel","Metodo","Correlacao_Matematica","Correlacao_Portugues","Status_Calculo"
"TX_RESP_Q10a_num","Spearman",-0.358309851611199,-0.216175869883509,"OK"
"TX_RESP_Q10c_num","Spearman",-0.321744726043893,-0.498704325368035,"OK"
"TX_RESP_Q10d_num","Spearman",-0.318854301707103,-0.465687014824632,"OK"
"TX_RESP_Q10e_num","Spearman",-0.361157559257308,-0.257969685183791,"OK"
"TX_RESP_Q21a_num","Spearman",0.559553566470735,0.279776783235368,"OK"
"TX_RESP_Q21b_num","Spearman",-0.400100650865365,-0.112743138731821,"OK"
"TX_RESP_Q21c_num","Spearman",0.315591982785209,-0.185026273093098,"OK"
"TX_RESP_Q21e_num","Spearman",0.335921098003066,0.144524193326901,"OK"
"TX_RESP_Q23a_num","Spearman",0.303884683694893,-0.0732407060068029,"OK"
"TX_RESP_Q23c_num","Spearman",0.324656502371783,-0.0510174503727087,"OK"
"TX_RESP_Q23e_num","Spearman",0.498451079734272,0.197877564316621,"OK"
"TX_RESP_Q23f_num","Spearman",0.369217288371995,-0.0406414552499024,"OK"
"TX_RESP_Q23h_num","Spearman",0.604744912500031,0.138435582379525,"OK"
"TX_RESP_Q23i_num","Spearman",0.619317079066297,0.313301581174715,"OK"
