"Variavel","Metodo","Correlacao_Matematica","Correlacao_Portugues","Status_Calculo"
"TX_RESP_Q10a_num","Spearman",0.211098488622019,-0.0443648093870756,"OK"
"TX_RESP_Q10b_num","Spearman",0.292515226727971,-0.0965300248202304,"OK"
"TX_RESP_Q10c_num","Spearman",0.21614480376769,-0.0463167436645049,"OK"
"TX_RESP_Q10d_num","Spearman",0.0969057762564512,-0.083892714873442,"OK"
"TX_RESP_Q10e_num","Spearman",0,0.108072401883845,"OK"
"TX_RESP_Q10f_num","Spearman",0.111633007791491,-0.192018314684082,"OK"
"TX_RESP_Q21a_num","Spearman",0.11984659589368,0.0612203390279404,"OK"
"TX_RESP_Q21b_num","Spearman",0.0837984216827083,0.0394941201888293,"OK"
"TX_RESP_Q21c_num","Spearman",0.139316303001637,-0.125115344171945,"OK"
"TX_RESP_Q21d_num","Spearman",0.202124143386694,-0.13821538035853,"OK"
"TX_RESP_Q21e_num","Spearman",0.212642254636955,0.377867730653715,"OK"
"TX_RESP_Q22a_num","Spearman",-0.165408815376647,0.0338789139928072,"OK"
"TX_RESP_Q22b_num","Spearman",-0.0519404876674842,0.0533635147268674,"OK"
"TX_RESP_Q22c_num","Spearman",0.0852650526498892,-0.165514513967432,"OK"
"TX_RESP_Q22d_num","Spearman",0.170146356880103,0.0151132867142785,"OK"
"TX_RESP_Q22e_num","Spearman",-0.156513790341388,-0.136768973713705,"OK"
"TX_RESP_Q22f_num","Spearman",0.0232388697627182,-0.206514492118176,"OK"
"TX_RESP_Q22g_num","Spearman",0.1081440147207,-0.105221203512033,"OK"
"TX_RESP_Q22h_num","Spearman",0.207281974345414,0.197399019483274,"OK"
"TX_RESP_Q23a_num","Spearman",0.214579011734912,0.157477437013092,"OK"
"TX_RESP_Q23b_num","Spearman",0.133407469193014,-0.100055601894761,"OK"
"TX_RESP_Q23c_num","Spearman",-0.00652690779822115,-0.303863818606073,"OK"
"TX_RESP_Q23d_num","Spearman",0.245725326498566,0.0548814141113521,"OK"
"TX_RESP_Q23e_num","Spearman",0.176262209679603,-0.104610904931797,"OK"
"TX_RESP_Q23f_num","Spearman",0.21099588346991,0.183344711019898,"OK"
"TX_RESP_Q23g_num","Spearman",0.238761171123769,-0.0960380129659855,"OK"
"TX_RESP_Q23h_num","Spearman",-0.239303175599942,0.0771945727741749,"OK"
"TX_RESP_Q23i_num","Spearman",-0.0349725382700527,0.182634366521386,"OK"
"TX_RESP_Q19_num","Spearman",-0.358142224223854,-0.258563300304811,"OK"
"TX_RESP_Q20_num","Spearman",-0.237487084605688,-0.250324224314103,"OK"
