ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,CATEGORIA_DESEMPENHO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO
61433439,Pública,Interior,Urbana,ALTO,1,320.73,257.23,4.72
61416721,Pública,Interior,Urbana,ALTO,1,300.59,277.36,4.58
61425010,Pública,Interior,Urbana,ALTO,1,292.1,285.07,5.53
61399481,Pública,Interior,Urbana,ALTO,1,291.15,283.63,5.35
61428136,Pública,Interior,Urbana,ALTO,1,291.08,282.16,4.45
61425514,Pública,Interior,Urbana,ALTO,1,289.76,284.8,4.69
61459171,Pública,Interior,Urbana,ALTO,1,289.58,286.43,4.75
61439356,Pública,Interior,Urbana,ALTO,1,288.79,285.63,5.09
61449670,Pública,Interior,Urbana,ALTO,1,288.18,286.66,5.04
61400009,Pública,Interior,Urbana,ALTO,1,287.52,285.67,4.89
61412125,Pública,Interior,Urbana,ALTO,1,286.4,286.94,5.64
61448623,Pública,Interior,Urbana,ALTO,1,285.87,288.28,4.98
61405579,Pública,Interior,Urbana,ALTO,1,285.83,287.68,5.07
61400172,Pública,Interior,Urbana,ALTO,1,285.4,287.64,5.01
61433509,Pública,Interior,Urbana,ALTO,1,284.78,288.03,5.11
61441610,Pública,Interior,Urbana,BAIXO,1,278.72,234.81,3.71
61466148,Pública,Interior,Urbana,BAIXO,1,267.45,249.23,5.01
61448159,Pública,Interior,Urbana,BAIXO,1,265.89,251.27,4.36
61408016,Pública,Interior,Urbana,BAIXO,1,265.34,250.38,4.52
61450162,Pública,Interior,Urbana,BAIXO,1,264.51,253.1,5.16
61441552,Pública,Interior,Urbana,BAIXO,1,264.37,253.03,4.79
61449143,Pública,Interior,Urbana,BAIXO,1,264.36,252.12,5.12
61412893,Pública,Interior,Urbana,BAIXO,1,264.27,252.77,5.11
61449537,Pública,Interior,Urbana,BAIXO,1,263.87,252.32,4.43
61421836,Pública,Interior,Urbana,BAIXO,1,263.39,253.91,4.8
61459309,Pública,Interior,Rural,BAIXO,1,263.03,253.97,3.98
61441601,Pública,Interior,Urbana,BAIXO,1,262.45,255.03,4.67
61412841,Pública,Interior,Urbana,BAIXO,1,261.8,255.14,4.51
61433588,Pública,Interior,Rural,BAIXO,1,260.93,257.03,3.85
61424832,Pública,Interior,Rural,BAIXO,1,260.01,257.7,4.3
61438217,NA,NA,NA,BAIXO,1,240.94,195.25,5.43
61399662,Pública,Interior,Urbana,BAIXO,1,233.37,219.46,3.97
61417096,Pública,Interior,Urbana,BAIXO,1,229.17,225.15,4.27
61459766,Pública,Interior,Rural,BAIXO,1,228.7,221.61,4.04
61448158,Pública,Interior,Urbana,BAIXO,1,226.81,225.91,3.85
61426084,Pública,Interior,Rural,BAIXO,1,226.45,218.28,4.27
61438237,Pública,Interior,Rural,BAIXO,1,226.07,220.49,3.89
61470491,Pública,Interior,Urbana,BAIXO,1,226.03,210.95,4.15
61425004,Pública,Interior,Urbana,BAIXO,1,225.86,219.04,4.28
61459394,Pública,Interior,Rural,BAIXO,1,224.71,206.69,3.99
61400006,Pública,Interior,Urbana,BAIXO,1,224.08,227.35,3.56
61428646,Pública,Interior,Urbana,BAIXO,1,221.21,222.31,4.39
61412203,Pública,Interior,Urbana,BAIXO,1,219.5,215.95,4.45
61425129,Pública,Interior,Urbana,BAIXO,1,219.02,214.28,4.44
61400070,Pública,Interior,Urbana,BAIXO,1,218.83,202.72,5.04
61432493,Pública,Interior,Urbana,ALTO,2,22195.53,283.44,4.4
61421870,Pública,Interior,Urbana,ALTO,2,19851.56,273.67,4.73
61465816,Pública,Interior,Rural,ALTO,2,18564.84,289.18,5.44
61428659,Pública,Interior,Urbana,ALTO,2,16537.67,261.56,4.92
61455987,Pública,Interior,Urbana,ALTO,2,14408.93,265.08,4.36
61428657,Pública,Interior,Urbana,ALTO,2,13947.83,277.1,5.47
61438271,Pública,Interior,Urbana,ALTO,2,12559.13,334.43,5.98
61425003,Pública,Interior,Urbana,ALTO,2,11570.16,292.54,5.08
61470094,Pública,Interior,Urbana,ALTO,3,6397.5,5414.02,5.07
61439282,Pública,Interior,Urbana,ALTO,3,278.25,6396.25,5.24
61466579,Pública,Interior,Urbana,ALTO,3,275.41,6314.29,4.89
61399908,Pública,Interior,Urbana,ALTO,3,272.94,6480.25,4.55
61454655,Pública,Interior,Urbana,ALTO,3,268.61,6523.84,4.44
61416606,Pública,Interior,Urbana,ALTO,3,268.51,6299.15,5.11
61433505,Pública,Interior,Urbana,ALTO,3,253.14,6553.15,5.14
